Wavelength(nm),Absorbance
2700.0000,10
2699.8000,-1.64837
2699.6001,0.728561
2699.3999,10
2699.2000,10
2699.0000,0.482876
2698.8000,10
2698.6001,0
2698.3999,-1.74115
2698.2000,-0.348628
2698.0000,3.22036
2697.8000,0
2697.6001,10
2697.3999,0.27598
2697.2000,0
2697.0000,-2.08483
2696.8000,10
2696.6001,10
2696.3999,0.403301
2696.2000,10
2696.0000,-0.435082
2695.8000,10
2695.6001,-1.63277
2695.3999,10
2695.2000,-0.802741
2695.0000,-3.0188
2694.8000,0.0138639
2694.6001,10
2694.3999,0.574697
2694.2000,10
2694.0000,10
2693.8000,0
2693.6001,0
2693.3999,0
2693.2000,-1.71657
2693.0000,-1.06041
2692.8000,1.1986
2692.6001,0
2692.3999,0.687055
2692.2000,10
2692.0000,10
2691.8000,10
2691.6001,10
2691.3999,0.706567
2691.2000,10
2691.0000,0
2690.8000,10
2690.6001,2.00907
2690.3999,-1.16543
2690.2000,10
2690.0000,0
2689.8000,10
2689.6001,10
2689.3999,10
2689.2000,10
2689.0000,0
2688.8000,-0.387216
2688.6001,10
2688.3999,10
2688.2000,10
2688.0000,10
2687.8000,10
2687.6001,0
2687.3999,10
2687.2000,10
2687.0000,3.34757
2686.8000,10
2686.6001,10
2686.3999,0.161805
2686.2000,10
2686.0000,0
2685.8000,10
2685.6001,0.121185
2685.3999,10
2685.2000,-1.94788
2685.0000,10
2684.8000,10
2684.6001,-0.0724776
2684.3999,10
2684.2000,-2.51354
2684.0000,10
2683.8000,10
2683.6001,10
2683.3999,-0.423454
2683.2000,-0.901397
2683.0000,0.280737
2682.8000,10
2682.6001,-1.34862
2682.3999,2.37375
2682.2000,0
2682.0000,10
2681.8000,10
2681.6001,10
2681.3999,-2.7074
2681.2000,2.65487
2681.0000,10
2680.8000,10
2680.6001,0
2680.3999,-0.113509
2680.2000,-0.668418
2680.0000,10
2679.8000,0
2679.6001,10
2679.3999,10
2679.2000,10
2679.0000,10
2678.8000,10
2678.6001,-1.73058
2678.3999,0
2678.2000,10
2678.0000,0.510997
2677.8000,0.395399
2677.6001,10
2677.3999,10
2677.2000,10
2677.0000,-1.00348
2676.8000,10
2676.6001,10
2676.3999,-2.27588
2676.2000,0.160463
2676.0000,10
2675.8000,0.185757
2675.6001,0.0914087
2675.3999,10
2675.2000,0.893341
2675.0000,10
2674.8000,-2.61866
2674.6001,1.16311
2674.3999,10
2674.2000,10
2674.0000,10
2673.8000,2.17102
2673.6001,-1.03222
2673.3999,2.06849
2673.2000,0
2673.0000,2.61824
2672.8000,0
2672.6001,10
2672.3999,10
2672.2000,0.302689
2672.0000,2.36842
2671.8000,10
2671.6001,10
2671.3999,2.6
2671.2000,10
2671.0000,10
2670.8000,-2.66044
2670.6001,10
2670.3999,10
2670.2000,10
2670.0000,10
2669.8000,-0.233718
2669.6001,-1.73152
2669.3999,-1.54627
2669.2000,10
2669.0000,10
2668.8000,10
2668.6001,10
2668.3999,0.468155
2668.2000,10
2668.0000,0
2667.8000,2.72154
2667.6001,10
2667.3999,-0.762664
2667.2000,0.28243
2667.0000,0
2666.8000,0.408937
2666.6001,10
2666.3999,-0.133502
2666.2000,10
2666.0000,10
2665.8000,-0.65193
2665.6001,10
2665.3999,10
2665.2000,10
2665.0000,0
2664.8000,1.57065
2664.6001,1.18467
2664.3999,-0.537602
2664.2000,10
2664.0000,10
2663.8000,-0.851777
2663.6001,3.29816
2663.3999,10
2663.2000,10
2663.0000,10
2662.8000,-2.28134
2662.6001,10
2662.3999,0
2662.2000,10
2662.0000,3.82932
2661.8000,10
2661.6001,10
2661.3999,10
2661.2000,0.384372
2661.0000,10
2660.8000,-1.67549
2660.6001,10
2660.3999,10
2660.2000,-2.49578
2660.0000,-4.83885
2659.8000,10
2659.6001,10
2659.3999,10
2659.2000,10
2659.0000,10
2658.8000,10
2658.6001,-1.59662
2658.3999,0
2658.2000,10
2658.0000,10
2657.8000,10
2657.6001,10
2657.3999,10
2657.2000,10
2657.0000,10
2656.8000,10
2656.6001,10
2656.3999,-4.23587
2656.2000,0.878027
2656.0000,-1.53238
2655.8000,1.56316
2655.6001,0
2655.3999,-0.124939
2655.2000,10
2655.0000,10
2654.8000,10
2654.6001,0.424266
2654.3999,-1.1239
2654.2000,2.12528
2654.0000,10
2653.8000,10
2653.6001,10
2653.3999,10
2653.2000,-1.46933
2653.0000,10
2652.8000,0.164941
2652.6001,10
2652.3999,10
2652.2000,-2.31547
2652.0000,10
2651.8000,10
2651.6001,10
2651.3999,-0.443192
2651.2000,10
2651.0000,0
2650.8000,10
2650.6001,0
2650.3999,0
2650.2000,10
2650.0000,10
2649.8000,10
2649.6001,10
2649.3999,10
2649.2000,10
2649.0000,-2.72209
2648.8000,-2.07952
2648.6001,-2.29676
2648.3999,0.929423
2648.2000,0
2648.0000,0
2647.8000,10
2647.6001,0.247161
2647.3999,-3.28414
2647.2000,1.99089
2647.0000,0
2646.8000,10
2646.6001,2.97587
2646.3999,1.04598
2646.2000,0
2646.0000,1.47347
2645.8000,10
2645.6001,3.00307
2645.3999,10
2645.2000,0
2645.0000,10
2644.8000,0
2644.6001,0
2644.3999,10
2644.2000,10
2644.0000,10
2643.8000,10
2643.6001,10
2643.3999,0.392638
2643.2000,10
2643.0000,10
2642.8000,10
2642.6001,10
2642.3999,10
2642.2000,-0.273829
2642.0000,10
2641.8000,2.48646
2641.6001,10
2641.3999,10
2641.2000,10
2641.0000,10
2640.8000,-0.252761
2640.6001,-2.13757
2640.3999,0
2640.2000,-0.0800312
2640.0000,-2.77971
2639.8000,-0.0585581
2639.6001,0.958607
2639.3999,0.610834
2639.2000,10
2639.0000,10
2638.8000,-3.25277
2638.6001,10
2638.3999,10
2638.2000,0.572592
2638.0000,-0.0457575
2637.8000,2.75793
2637.6001,-0.69075
2637.3999,10
2637.2000,0
2637.0000,0.901164
2636.8000,-3.39202
2636.6001,-1.87086
2636.3999,10
2636.2000,1.22473
2636.0000,0
2635.8000,10
2635.6001,10
2635.3999,0.259637
2635.2000,-0.267927
2635.0000,0
2634.8000,0
2634.6001,-2.22094
2634.3999,10
2634.2000,-0.454137
2634.0000,3.34421
2633.8000,10
2633.6001,10
2633.3999,10
2633.2000,-0.245229
2633.0000,10
2632.8000,10
2632.6001,-2.8272
2632.3999,0.631159
2632.2000,3.26186
2632.0000,2.65655
2631.8000,0
2631.6001,1.45286
2631.3999,-2.77592
2631.2000,-0.0814091
2631.0000,0.543954
2630.8000,-0.520664
2630.6001,10
2630.3999,10
2630.2000,0
2630.0000,10
2629.8000,10
2629.6001,0.0345775
2629.3999,-1.00323
2629.2000,-2.37533
2629.0000,-1.67384
2628.8000,-2.49825
2628.6001,0
2628.3999,10
2628.2000,2.30665
2628.0000,0
2627.8000,0
2627.6001,10
2627.3999,10
2627.2000,0
2627.0000,10
2626.8000,0.717627
2626.6001,0
2626.3999,-3.35426
2626.2000,0
2626.0000,-0.00877392
2625.8000,-0.825347
2625.6001,-0.80392
2625.3999,-1.46035
2625.2000,0.459747
2625.0000,10
2624.8000,1.69897
2624.6001,10
2624.3999,10
2624.2000,10
2624.0000,0
2623.8000,-0.441682
2623.6001,0
2623.3999,0
2623.2000,-1.63964
2623.0000,-0.791083
2622.8000,10
2622.6001,10
2622.3999,10
2622.2000,0.298119
2622.0000,-1.64829
2621.8000,10
2621.6001,0
2621.3999,10
2621.2000,2.0437
2621.0000,-0.24894
2620.8000,10
2620.6001,10
2620.3999,10
2620.2000,-2.76612
2620.0000,10
2619.8000,-1.97457
2619.6001,2.45429
2619.3999,0
2619.2000,1.05432
2619.0000,10
2618.8000,10
2618.6001,10
2618.3999,2.09691
2618.2000,-1.53222
2618.0000,10
2617.8000,0
2617.6001,-2.23297
2617.3999,0
2617.2000,10
2617.0000,-0.665164
2616.8000,1.11308
2616.6001,-3.05594
2616.3999,2.65074
2616.2000,10
2616.0000,2.24724
2615.8000,0
2615.6001,10
2615.3999,-0.00883069
2615.2000,10
2615.0000,0
2614.8000,3.72555
2614.6001,-1.70824
2614.3999,10
2614.2000,-2.67247
2614.0000,10
2613.8000,0
2613.6001,10
2613.3999,10
2613.2000,0.1394
2613.0000,0.726584
2612.8000,0.0681462
2612.6001,10
2612.3999,10
2612.2000,0
2612.0000,10
2611.8000,10
2611.6001,10
2611.3999,10
2611.2000,-0.00796194
2611.0000,10
2610.8000,10
2610.6001,-0.142668
2610.3999,10
2610.2000,0.635655
2610.0000,-2.77589
2609.8000,-3.96473
2609.6001,0.222065
2609.3999,10
2609.2000,0.00169646
2609.0000,10
2608.8000,-0.468521
2608.6001,0
2608.3999,-3.37107
2608.2000,0
2608.0000,0
2607.8000,0.429152
2607.6001,0
2607.3999,0
2607.2000,0
2607.0000,10
2606.8000,-3.0418
2606.6001,0.920536
2606.3999,10
2606.2000,0
2606.0000,10
2605.8000,10
2605.6001,0
2605.3999,-0.480947
2605.2000,0
2605.0000,10
2604.8000,-1.94625
2604.6001,1.3879
2604.3999,0
2604.2000,10
2604.0000,10
2603.8000,10
2603.6001,1.7513
2603.3999,-1.55009
2603.2000,0
2603.0000,10
2602.8000,3.2718
2602.6001,-0.838509
2602.3999,3.09679
2602.2000,10
2602.0000,10
2601.8000,10
2601.6001,0
2601.3999,10
2601.2000,2.9449
2601.0000,-1.84835
2600.8000,10
2600.6001,-1.79232
2600.3999,10
2600.2000,10
2600.0000,10
2599.8000,10
2599.6001,-0.561583
2599.3999,-2.07681
2599.2000,10
2599.0000,10
2598.8000,0.861061
2598.6001,10
2598.3999,10
2598.2000,-1.23009
2598.0000,-2.97436
2597.8000,1.74887
2597.6001,0
2597.3999,1.91337
2597.2000,0.770246
2597.0000,-1.64294
2596.8000,10
2596.6001,10
2596.3999,10
2596.2000,10
2596.0000,10
2595.8000,0
2595.6001,-2.14561
2595.3999,10
2595.2000,10
2595.0000,0
2594.8000,0
2594.6001,10
2594.3999,0
2594.2000,10
2594.0000,-1.66484
2593.8000,10
2593.6001,-0.207653
2593.3999,10
2593.2000,10
2593.0000,10
2592.8000,10
2592.6001,10
2592.3999,-0.819953
2592.2000,0
2592.0000,0
2591.8000,3.03898
2591.6001,10
2591.3999,0.977336
2591.2000,10
2591.0000,10
2590.8000,10
2590.6001,3.15119
2590.3999,-2.49198
2590.2000,1.95482
2590.0000,10
2589.8000,10
2589.6001,-3.47227
2589.3999,10
2589.2000,10
2589.0000,1.66628
2588.8000,10
2588.6001,0
2588.3999,10
2588.2000,-3.24921
2588.0000,10
2587.8000,-1.37203
2587.6001,0
2587.3999,10
2587.2000,10
2587.0000,10
2586.8000,10
2586.6001,-1.65111
2586.3999,0.280881
2586.2000,-1.42174
2586.0000,2.89879
2585.8000,10
2585.6001,0
2585.3999,10
2585.2000,10
2585.0000,10
2584.8000,10
2584.6001,0
2584.3999,10
2584.2000,10
2584.0000,2.06333
2583.8000,-2.79342
2583.6001,10
2583.3999,-2.24274
2583.2000,2.9615
2583.0000,-3.78067
2582.8000,10
2582.6001,0
2582.3999,-0.722534
2582.2000,-0.391691
2582.0000,10
2581.8000,10
2581.6001,-0.0156786
2581.3999,-2.71874
2581.2000,0.920819
2581.0000,10
2580.8000,0
2580.6001,0
2580.3999,10
2580.2000,-0.000468579
2580.0000,0
2579.8000,-1.52296
2579.6001,10
2579.3999,-2.39837
2579.2000,2.89591
2579.0000,0
2578.8000,0
2578.6001,2.40266
2578.3999,0
2578.2000,10
2578.0000,0
2577.8000,0.99959
2577.6001,10
2577.3999,0
2577.2000,-0.646582
2577.0000,10
2576.8000,10
2576.6001,10
2576.3999,0
2576.2000,1.07195
2576.0000,10
2575.8000,1.72851
2575.6001,-2.17914
2575.3999,0
2575.2000,0
2575.0000,0.817878
2574.8000,-2.22505
2574.6001,10
2574.3999,10
2574.2000,0
2574.0000,10
2573.8000,1.42368
2573.6001,10
2573.3999,0
2573.2000,10
2573.0000,10
2572.8000,10
2572.6001,10
2572.3999,10
2572.2000,10
2572.0000,10
2571.8000,10
2571.6001,10
2571.3999,0
2571.2000,-1.24046
2571.0000,0.0589378
2570.8000,0.671079
2570.6001,0
2570.3999,0.847998
2570.2000,10
2570.0000,-1.31183
2569.8000,10
2569.6001,10
2569.3999,-1.45406
2569.2000,0.685952
2569.0000,10
2568.8000,10
2568.6001,0
2568.3999,10
2568.2000,0.979799
2568.0000,0.749341
2567.8000,-0.527586
2567.6001,10
2567.3999,-0.442109
2567.2000,10
2567.0000,10
2566.8000,0.277876
2566.6001,0
2566.3999,10
2566.2000,0.969761
2566.0000,0.396009
2565.8000,10
2565.6001,1.62241
2565.3999,10
2565.2000,10
2565.0000,10
2564.8000,-0.129598
2564.6001,10
2564.3999,10
2564.2000,2.68753
2564.0000,2.39893
2563.8000,-0.303189
2563.6001,10
2563.3999,-1.71338
2563.2000,1.29461
2563.0000,0.432082
2562.8000,0.022752
2562.6001,10
2562.3999,10
2562.2000,10
2562.0000,-1.15019
2561.8000,10
2561.6001,10
2561.3999,10
2561.2000,0
2561.0000,-0.0659785
2560.8000,0
2560.6001,0
2560.3999,0
2560.2000,0.410934
2560.0000,0.254465
2559.8000,10
2559.6001,0
2559.3999,10
2559.2000,10
2559.0000,0
2558.8000,10
2558.6001,-1.64946
2558.3999,2.1708
2558.2000,2.61255
2558.0000,10
2557.8000,10
2557.6001,-0.277332
2557.3999,10
2557.2000,10
2557.0000,-1.40917
2556.8000,10
2556.6001,10
2556.3999,10
2556.2000,10
2556.0000,0
2555.8000,2.51729
2555.6001,0
2555.3999,10
2555.2000,10
2555.0000,-2.24629
2554.8000,2.56291
2554.6001,10
2554.3999,10
2554.2000,10
2554.0000,10
2553.8000,0
2553.6001,10
2553.3999,10
2553.2000,10
2553.0000,10
2552.8000,10
2552.6001,1.709
2552.3999,10
2552.2000,10
2552.0000,10
2551.8000,-1.35468
2551.6001,1.87626
2551.3999,10
2551.2000,0.0397332
2551.0000,10
2550.8000,-2.13693
2550.6001,0.504463
2550.3999,0.416774
2550.2000,0
2550.0000,10
2549.8000,-1.55553
2549.6001,0
2549.3999,-0.742044
2549.2000,2.73306
2549.0000,10
2548.8000,10
2548.6001,10
2548.3999,-3.42993
2548.2000,10
2548.0000,10
2547.8000,10
2547.6001,0.735835
2547.3999,0.422694
2547.2000,10
2547.0000,1.5638
2546.8000,0
2546.6001,10
2546.3999,10
2546.2000,10
2546.0000,1.73877
2545.8000,10
2545.6001,2.19802
2545.3999,10
2545.2000,0
2545.0000,10
2544.8000,10
2544.6001,0.266582
2544.3999,10
2544.2000,10
2544.0000,10
2543.8000,10
2543.6001,10
2543.3999,10
2543.2000,10
2543.0000,-2.03355
2542.8000,10
2542.6001,10
2542.3999,10
2542.2000,0
2542.0000,10
2541.8000,10
2541.6001,-0.0600673
2541.3999,0.239158
2541.2000,0.0185013
2541.0000,10
2540.8000,0
2540.6001,10
2540.3999,10
2540.2000,10
2540.0000,0
2539.8000,10
2539.6001,10
2539.3999,-1.77772
2539.2000,-0.58795
2539.0000,-1.76726
2538.8000,10
2538.6001,-1.84785
2538.3999,10
2538.2000,-0.155095
2538.0000,-1.86328
2537.8000,0.721246
2537.6001,10
2537.3999,-0.506834
2537.2000,10
2537.0000,10
2536.8000,2.84139
2536.6001,-2.24559
