TITLE,Sucrose_0.05M
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,1
DATE,21/01/25
TIME,13:01:17
SPECTROMETER/DATA SYSTEM,
LOCALE,16393
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX, 2700.0000
LASTX,  200.0000
NPOINTS,   12501
FIRSTY,     0.80755
MAXY,    10.00000
MINY,    -4.83885
XYDATA
2700.0000,0.807551
2699.8000,1.28613
2699.6001,-1.83902
2699.3999,0.0282338
2699.2000,0.0429068
2699.0000,0.762641
2698.8000,0
2698.6001,10
2698.3999,10
2698.2000,2.11979
2698.0000,0.321864
2697.8000,10
2697.6001,10
2697.3999,10
2697.2000,10
2697.0000,-1.93589
2696.8000,-0.633669
2696.6001,3.48802
2696.3999,-2.74308
2696.2000,2.88863
2696.0000,1.59552
2695.8000,10
2695.6001,-1.63277
2695.3999,10
2695.2000,10
2695.0000,10
2694.8000,10
2694.6001,2.76681
2694.3999,0.0751694
2694.2000,10
2694.0000,-1.91688
2693.8000,10
2693.6001,0
2693.3999,0
2693.2000,-2.18599
2693.0000,-1.06041
2692.8000,-0.565729
2692.6001,0
2692.3999,10
2692.2000,0.817954
2692.0000,10
2691.8000,10
2691.6001,10
2691.3999,-0.831252
2691.2000,-1.16967
2691.0000,10
2690.8000,10
2690.6001,0
2690.3999,10
2690.2000,-0.0966177
2690.0000,10
2689.8000,0
2689.6001,-0.613292
2689.3999,-0.940563
2689.2000,10
2689.0000,10
2688.8000,10
2688.6001,10
2688.3999,10
2688.2000,-2.35218
2688.0000,10
2687.8000,-2.92826
2687.6001,10
2687.3999,10
2687.2000,10
2687.0000,10
2686.8000,10
2686.6001,0
2686.3999,10
2686.2000,-2.26724
2686.0000,1.93403
2685.8000,-0.18861
2685.6001,1.97225
2685.3999,0
2685.2000,-0.551265
2685.0000,0
2684.8000,10
2684.6001,-0.660546
2684.3999,-0.709064
2684.2000,-1.55493
2684.0000,0.359923
2683.8000,-0.885321
2683.6001,-0.0238774
2683.3999,10
2683.2000,-2.24565
2683.0000,10
2682.8000,10
2682.6001,0.879626
2682.3999,2.32741
2682.2000,0
2682.0000,0
2681.8000,10
2681.6001,-2.91844
2681.3999,10
2681.2000,0
2681.0000,10
2680.8000,0
2680.6001,10
2680.3999,-0.113509
2680.2000,10
2680.0000,0.431383
2679.8000,3.23999
2679.6001,0
2679.3999,10
2679.2000,10
2679.0000,10
2678.8000,0
2678.6001,1.20384
2678.3999,0
2678.2000,10
2678.0000,-0.0841784
2677.8000,10
2677.6001,0
2677.3999,0
2677.2000,10
2677.0000,10
2676.8000,10
2676.6001,10
2676.3999,0.539332
2676.2000,3.62065
2676.0000,10
2675.8000,10
2675.6001,10
2675.3999,0
2675.2000,10
2675.0000,-1.28753
